id	description	en	local
def_trans_t_s_desc		A T-shaped pipe segment that can be used to branch piping into two directions.	Uma forma de T segmento de tubo que pode ser usado para tubagens ramo em duas direcções.
def_trans_t_corner_name		Pipe T-Piece-Corner	Tubulação T-Piece-Corner
def_trans_t_corner_desc			#VALOR!
def_trans_t_corner_s_desc		A T-shaped pipe segment that can be used to branch piping into three directions.	Uma forma de T segmento de tubo que pode ser usado para tubagens ramo em três direcções.
def_turbine_name		Turbine Engine	Motor de turbina
def_turbine_desc		An on/off signal controls whether or not the engine is producing power. The throttle input takes a standard value between -1 and 1 and controls the forward and backward force of connected components. The engine's maximum power output is split between connected components.	Uma on / off do sinal controla se ou não o motor está a produzir energia. A entrada do regulador de pressão tem um valor padrão entre -1 e 1 e controla a força para a frente e para trás dos componentes ligados. potência máxima do motor é dividido entre componentes ligados.
def_turbine_s_desc		Turbine engine that can be connected to powered components.	motor de turbina que pode ser ligado a componentes energizados.
def_turbine_node_0_label		Power	Poder
def_turbine_node_0_desc		The power supplied by the engine for inputting to other components.	A potência fornecida pelo motor para introduzir a outros componentes.
def_turbine_node_1_label		Engine On/Off	Motor On / Off
def_turbine_node_1_desc		Controls whether or not the engine is producing any power.	Controla se ou não o motor está produzindo qualquer poder.
def_turbine_node_2_label		Throttle	regulador de pressão
def_turbine_node_2_desc		Standard value between -1 and 1 that controls the forward/backward throttle of the engine.	valor padrão entre -1 e um que controla a frente do acelerador / para trás do motor.
def_turbine_node_3_label		Electric	Elétrico
def_turbine_node_3_desc		Electrical power connection.	conexão de energia elétrica.
def_tyre_large_name		Large Tyre	Grande Tire
def_tyre_large_desc		Useful for creating tyre stacks and fenders.	Útil para criar pilhas de pneus e pára-lamas.
def_tyre_large_s_desc		A large decorative tyre.	Uma grande pneu decorativo.
def_tyre_small_name		Small Tyre	Tire pequena
def_tyre_small_desc		Useful for creating tyre stacks and fenders.	Útil para criar pilhas de pneus e pára-lamas.
def_tyre_small_s_desc		A small decorative tyre.	Um pequeno pneu decorativo.
def_watercannon_name		Fluid Cannon	canhão Fluid
def_watercannon_desc		The cannon is a turret and can rotate on 2 axis.	O canhão é uma torre e pode rodar em dois eixos.
def_watercannon_s_desc		A fluid cannon that fires pressurized water for putting out fires.	Um canhão de fluido que incêndios pressurizada água para a extinção de incêndios.
def_watercannon_node_0_label		Turret Swivel	Turret Swivel
def_watercannon_node_0_desc		Yaw axis servo control for the cannon head.	Guinada eixo de servo-controlo para a cabeça de canhão.
def_watercannon_node_1_label		Nozzle Pitch	bocal de pitch
def_watercannon_node_1_desc		Pitch axis servo control for the cannon head.	Passo do eixo de servo-controlo para a cabeça de canhão.
def_watercannon_node_2_label		Fluid Supply	fluido de alimentação
def_watercannon_node_2_desc		The fluid input to output from the nozzle. Filters to water only.	A entrada de fluido para a saída a partir do bocal. Filtros para água somente.
def_watercannon_node_3_label		Electric	Elétrico
def_watercannon_node_3_desc		Electrical power connection.	conexão de energia elétrica.
def_water_hose_name		Hose (Deprecated)	Mangueira (preterido)
def_water_hose_desc		This can be used to transport water between Two bodies. Two on/off signals are used to control whether the hose is moving up (towards the base) or down (away from the base). A number output allows you to measure the hose's current length if necessary. The maximum length of the hose is 16 metres (64 blocks). The speed of the hose mechanism can be configured by selecting this component with the select tool.	Isso pode ser usado para o transporte de água entre os organismos Dois. Dois de ligar / desligar os sinais são utilizados para controlar se o tubo se move para cima (na direcção da base) ou para baixo (para fora da base). A saída número permite medir o comprimento atual da mangueira, se necessário. O comprimento máximo do tubo é de 16 metros (64 blocos). A velocidade do mecanismo de mangueira pode ser configurada seleccionando deste componente com a ferramenta de selecção.
def_water_hose_s_desc		A building block attached to the end of a mechanical hose that can be raised and lowered.	Um bloco de construção ligado à extremidade de uma mangueira mecânico que pode ser levantada e baixada.
def_water_hose_node_0_label		Fluid	Fluido
def_water_hose_node_0_desc		Fluid connection for the hose coil.	conexão de fluido para a bobina de mangueira.
def_water_hose_node_1_label		Hose Up	mangueira Up
def_water_hose_node_1_desc		Raises the hose up when receiving an on signal.	Levanta a mangueira até ao receber uma em sinal.
def_water_hose_node_2_label		Hose Down	mangueira para baixo
def_water_hose_node_2_desc		Lowers the hose down when receiving an on signal.	Abaixa a mangueira para baixo quando receber um sinal no.
def_water_hose_node_3_label		Hose Length	Comprimento da mangueira
def_water_hose_node_3_desc		The current length of the hose in metres.	O comprimento atual da mangueira em metros.
def_water_hose_node_4_label		Electric	Elétrico
def_water_hose_node_4_desc		Electrical power connection.	conexão de energia elétrica.
def_water_hose_b_name		winch end	final guincho
def_water_hose_b_desc			#VALOR!
def_water_hose_b_s_desc			#VALOR!
def_water_hose_b_node_0_label		Fluid	Fluido
def_water_hose_b_node_0_desc		Fluid connection for the end of the hose.	conexão de fluido para a extremidade da mangueira.
def_water_inlet_name		Fluid Port	Fluid Porto
def_water_inlet_desc		Place the port inside of an enclosed volume to connect to that volume, or outside of the vehicle to connect to the ocean.	Colocar o interior da porta de um volume fechado para ligar a esse volume, ou do lado de fora do veículo para se conectar ao oceano.
def_water_inlet_s_desc		Port used to allow fluid in and out of a fluid system.	Porta usada para permitir que o fluido dentro e fora de um sistema de fluido.
def_water_inlet_node_0_label		Fluid	Fluido
def_water_inlet_node_0_desc		Allows fluid to flow in and out of an enclosed volume or the ocean.	Permite que o fluido flua dentro e para fora de um volume fechado ou do oceano.
def_water_jet_name		Fluid Jet	Jet Fluid
def_water_jet_desc		Converts mechanical power and water into a high power jet for generating thrust.	Converte a energia mecânica e água num jacto de alta potência para o impulso de geração.
def_water_jet_s_desc		A fluid impeller and jet nozzle for ocean propulsion.	Um impulsor de fluido e o bico de jacto para a propulsão do oceano.
def_water_jet_node_0_label		Fluid Flow In	Fluid Flow In
def_water_jet_node_0_desc		Fluid inlet to supply jet.	A entrada de fluido para jacto de abastecimento.
def_water_jet_node_1_label		Power	Poder
def_water_jet_node_1_desc		Mechanical power input to power jet.	entrada de energia mecânica para jet poder.
def_water_jet_node_2_label		Vertical Trim	Corte Vertical
def_water_jet_node_2_desc		Vertical nozzle angle to control jet direction.	ângulo bocal vertical para direcção de jacto de controlo.
def_water_jet_node_3_label		Deflector A	deflector A
def_water_jet_node_3_desc		Left bucket defector control input.	balde entrada de controlo defector esquerda.
def_water_jet_node_4_label		Deflector B	deflector B
def_water_jet_node_4_desc		Right bucket defector control input.	balde entrada de controlo defector direita.
def_water_jet_node_5_label		Electric	Elétrico
def_water_jet_node_5_desc		Electrical power connection.	conexão de energia elétrica.
def_water_measure_name		Fluid Meter	Medidor de fluido
def_water_measure_desc		This will output a quantity in litres and the total capacity in litres. If not inside an enclosed volume, it will give the height relative to the water surface.	Esta saída vontade uma quantidade em litros e a capacidade total em litros. Se não no interior de um volume fechado, que vai dar a altura em relação à superfície da água.
def_water_measure_s_desc		A device to measure how much fluid is within an enclosed volume.	Um dispositivo para medir a quantidade de fluido está dentro de um volume fechado.
def_water_measure_node_0_label		Fluid Level	Fluid Nível
def_water_measure_node_0_desc		Returns the number of litres in an enclosed volume, or height relative to water if not enclosed.	Devolve o número de litros num volume fechado, ou a altura em relação à água não se fechado.
def_water_measure_node_1_label		Fluid Capacity	Capacidade de fluido
def_water_measure_node_1_desc		Returns the total capacity of an enclosed volume in litres, or 0 if not enclosed.	Retorna a capacidade total de um volume fechado em litros, ou 0 se não fechado.
def_water_nozzle_name		Fluid Nozzle	Bico Fluid
def_water_nozzle_desc		The angle of spray can be adjusted.	O ângulo de pulverização pode ser ajustado.
def_water_nozzle_s_desc		A fluid nozzle that fires pressurized water for putting out fires.	Um bocal de fluido que incêndios pressurizada água para a extinção de incêndios.
def_water_nozzle_node_0_label		Fluid Supply	fluido de alimentação
def_water_nozzle_node_0_desc		The fluid input to output from the nozzle. Filters to water only.	A entrada de fluido para a saída a partir do bocal. Filtros para água somente.
def_water_nozzle_node_1_label		Spray Angle	spray de Ângulo
def_water_nozzle_node_1_desc		Adjustable spray angle from 0 (focused) to 1 (spread).	ângulo de pulverização ajustável de 0 (focada) a 1 (spread).
def_water_nozzle_node_2_label		Electric	Elétrico
def_water_nozzle_node_2_desc		Electrical power connection.	conexão de energia elétrica.
def_water_outlet_name		Fluid Port (Deprecated)	Fluid Porto (preterido)
def_water_outlet_desc		Place the port inside of an enclosed volume to connect to that volume, or outside of the vehicle to connect to the ocean.	Colocar o interior da porta de um volume fechado para ligar a esse volume, ou do lado de fora do veículo para se conectar ao oceano.
def_water_outlet_s_desc		Port used to allow fluid in and out of a fluid system.	Porta usada para permitir que o fluido dentro e fora de um sistema de fluido.
def_water_outlet_node_0_label		Fluid	Fluido
def_water_outlet_node_0_desc		Allows fluid to flow in and out of an enclosed volume or the ocean.	Permite que o fluido flua dentro e para fora de um volume fechado ou do oceano.
def_water_pump_name		Fluid Pump	Bomba fluido
def_water_pump_desc		Connect to an inlet and outlet to create a pumping system to move fluid around a vehicle.	Ligação a uma entrada e saída para criar um sistema de bombagem para deslocar o fluido em torno de um veículo.
def_water_pump_s_desc		A small fluid pump.	Uma pequena bomba de fluido.
def_water_pump_node_0_label		On/Off	Ligado desligado
def_water_pump_node_0_desc		Controls whether or not the fluid is being pumped through.	Controla se ou não o fluido é bombeado através.
def_water_pump_node_1_label		Fluid In	Fluid Em
def_water_pump_node_1_desc		Connect to an inlet component to take fluid into the system.	Ligação a um componente de entrada para tirar fluido para dentro do sistema.
def_water_pump_node_2_label		Fluid Out	Fluid Fora
def_water_pump_node_2_desc		Connect to an outlet component to release fluid from the system.	Ligar a um componente de saída para libertar fluido a partir do sistema.
